0x00000: 0x14, 0x14, 0xC4, 0x41, 0x00, 0x10, 0x01, 0xC0, 0x02, 0x00, 0x00, 0x00, 0x1F, 0x0B, 0x00, 0x00.
0x00010: 0xA4, 0x1F, 0x30, 0x2A, 0x76, 0x2F, 0xBC, 0x34, 0x48, 0x3F, 0x60, 0x54, 0x78, 0x69, 0x00, 0x00.
0x00020: 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x01.
0x00060: 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00070: 0x03, 0x1B, 0x00, 0x00, 0x04, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x40.
0x00090: 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00100: 0x14, 0x84, 0x00, 0x09, 0x09, 0x09, 0x09, 0x80, 0x01, 0x10, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00110: 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x03, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00160: 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00170: 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00200: 0x01, 0x00, 0x00, 0x00, 0x80, 0x01, 0x55, 0x55, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00210: 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x0A, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00220: 0x04, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00230: 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00240: 0x16, 0xCE, 0xEC, 0x27, 0xB2, 0x64, 0x20, 0x00, 0x00, 0x00, 0x01, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00310: 0x00, 0x24, 0x28, 0x4D, 0x06, 0x8C, 0x00, 0x44, 0x40, 0x83, 0x04, 0x99, 0xB3, 0x58, 0x44, 0x80.
0x00320: 0x01, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00340: 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x80, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00350: 0x00, 0x1B, 0x00, 0x07, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x20, 0x80, 0x38, 0x04, 0x1F, 0x00.
0x00380: 0x21, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x05, 0x00, 0xC8, 0x00, 0x14, 0x00, 0xF4, 0x01.
0x00400: 0x00, 0x22, 0xB9, 0x53, 0x70, 0x72, 0x75, 0x63, 0x65, 0x00, 0x01, 0x03, 0x00, 0x00, 0x00, 0x00.
0x00600: 0x01, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00700: 0x04, 0xB3, 0xFF, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x00720: 0x04, 0x00, 0x02, 0x00, 0x0A, 0x04, 0x0A, 0x00, 0x1B, 0x00, 0x0D, 0x2F, 0x03, 0xFF, 0xFF, 0x03.
0x00730: 0x00, 0x00, 0x04, 0x10, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x007A0: 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x02008: 0x00, 0x28, 0x05, 0x01, 0x00, 0x00, 0x80, 0x01, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
0x02200: 0x14, 0x14, 0xC4, 0x41, 0x00, 0x10, 0x01, 0xC0, 0x02, 0x00, 0x00, 0x00, 0x1F, 0x0B, 0x00, 0x00.
0x02210: 0x08, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00.
